gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
NPR2,0.440093394495558,2.316355327991,4.60653958338291,6.44506739506244e-06,1.42219330938713e-05,2.66138090594727
FANCB,0.118449056242706,0.512905982545191,4.6064857213239,6.44660869383471e-06,1.42241509077241e-05,2.66115148369862
ROPN1B,-0.233770010212725,0.511576607247992,-4.60646669523861,6.44715322273717e-06,1.42241692078788e-05,2.66107044375894
SULT4A1,0.385569709068809,0.46515303322361,4.60636996340422,6.44992238438792e-06,1.42290952402091e-05,2.66065842738978
CD3E,0.786469554215143,2.88292186929513,4.60627785960555,6.45256012205747e-06,1.4233730544507e-05,2.66026613033498
MTFR1L,-0.272260789107769,4.69023995904961,-4.60535930122906,6.47892334974907e-06,1.42906968880296e-05,2.65635408480843
PITRM1-AS1,0.133153257220121,0.460348022621531,4.60456600804554,6.50177476997704e-06,1.43399083352799e-05,2.65297606280049
AC113361.1,0.314386790815645,0.884774911476306,4.60377646252065,6.52459523508659e-06,1.43890433327159e-05,2.64961448876224
AC006064.3,-0.330626321612111,0.897775442707327,-4.60372764563833,6.5260087308997e-06,1.43909641363243e-05,2.64940666172837
NTM,0.776166815200223,2.02481875819946,4.60329470090525,6.53855757400965e-06,1.4417437922542e-05,2.64756357740761
CPOX,0.32850918359458,3.62795944493111,4.60211101226426,6.57298526302433e-06,1.44921458803909e-05,2.64252525913794
TMEM233,-0.808182938270214,5.06575832517588,-4.60206323339032,6.57437857189652e-06,1.44940131314933e-05,2.64232191353281
H2AC17,-0.149488234412251,0.226334585686138,-4.60196369517647,6.57728217926109e-06,1.44992094313205e-05,2.64189828731235
CRYBG3,0.751558477673834,3.67013435595294,4.60082603608303,6.61055635466883e-06,1.45713493322208e-05,2.63705705799521
TOLLIP-AS1,-0.463887785375302,3.17151267742625,-4.5995362909937,6.64847463571879e-06,1.46537131854655e-05,2.63156986426155
SPRY4-AS1,0.238115240851386,1.3971112694166,4.59946017937572,6.65071883134829e-06,1.46574416517402e-05,2.63124608970762
RBMS3,0.379006180698889,3.51538694005442,4.59935441374201,6.65383860323589e-06,1.46630990105039e-05,2.63079617617407
ARL4A,0.337844203653464,3.44766477982132,4.59913982533516,6.66017265085487e-06,1.46758381572168e-05,2.62988337137132
TSEN2,0.272679939769398,2.75358708361624,4.59891532375547,6.66680551731002e-06,1.46892335868565e-05,2.62892843707915
HLA-DMA,0.582819450832168,5.86277848525428,4.59815757109077,6.68924017311237e-06,1.47374406006627e-05,2.62570557110599
CAB39P1,0.178161526373476,0.202545094165499,4.59795851406376,6.69514565789778e-06,1.47492262869692e-05,2.62485901843441
C8orf48,-0.407910607598292,2.65128691073928,-4.59761881933647,6.70523507021694e-06,1.47702263305576e-05,2.62341443141538
COL24A1,0.163157694602752,0.243092381627389,4.59755644106881,6.70708938187399e-06,1.47729444119501e-05,2.62314917120264
RETREG3,0.291081913461728,5.85350771232674,4.59753984403339,6.7075828431549e-06,1.47729444119501e-05,2.62307859372016
AP001029.1,0.792918595175173,2.2318238904092,4.59576699332899,6.76049468435192e-06,1.48882425900472e-05,2.61554094060765
ADAMTSL4-AS2,0.331583993603235,0.732070052652251,4.59508505274824,6.78095438490016e-06,1.49320601040895e-05,2.61264218109309
CDKN1C,0.445707225178023,3.75097563934003,4.59476275391838,6.79064476967059e-06,1.49521576459104e-05,2.61127229598682
AC024257.5,-0.152656995461574,0.225958129699832,-4.59445401101306,6.79994006977666e-06,1.49713819962563e-05,2.60996010480524
AC026726.1,-0.168984250791286,0.243877684507447,-4.59429231806028,6.80481303091295e-06,1.49808673299026e-05,2.60927292186782
HGFAC,0.15700763330986,0.22165438393401,4.59364954241395,6.82421768857246e-06,1.50211734123955e-05,2.60654137631804
HOXB4,0.321296783191411,1.11540410820428,4.59364834226555,6.82425396941784e-06,1.50211734123955e-05,2.606536276459
SCARNA7,-0.431832485312984,0.976174860585318,-4.59321989599308,6.83721789404183e-06,1.50484601607496e-05,2.60471572748265
HMGB3P4,0.177618211033586,0.347773906434046,4.59247482086852,6.85981882256216e-06,1.50969513056736e-05,2.60155010578022
ZBTB5,0.377038989653935,3.98088984825506,4.59126932700639,6.89653828311181e-06,1.517650360858e-05,2.5964292123693
DOC2GP,-0.299400635017761,0.795355736349867,-4.59087417791184,6.90861566071431e-06,1.52018199100877e-05,2.59475088173246
TRBV19,0.527073487651802,1.07377917173986,4.59062164531939,6.91634474738055e-06,1.52175647618627e-05,2.59367835534588
STX5,0.304919161460723,6.15827183298122,4.59026688775605,6.92721661467459e-06,1.52402212756787e-05,2.59217175574847
ASB13,0.274259484889514,3.73373999929078,4.5901338493142,6.9312979357774e-06,1.52479357310028e-05,2.59160678786345
HSPA14,0.269357471544251,3.8318930601505,4.58951513458941,6.95030913220452e-06,1.52879167757249e-05,2.58897950460854
AC025809.2,-0.255841195776551,0.626951736148236,-4.58950487148912,6.9506249082124e-06,1.52879167757249e-05,2.5889359263594
LINC02343,0.226339663405844,0.430250443491478,4.58888314352583,6.96978005623366e-06,1.53287775285345e-05,2.58629615543855
AC092112.1,0.213073419282673,0.276628650289475,4.58885374107201,6.97068718860068e-06,1.53295016054404e-05,2.58617132419963
AC012313.4,0.290634108008262,1.61468223238395,4.58871830710819,6.97486710021775e-06,1.53374222581759e-05,2.58559633368956
THCAT158,0.599307102328154,4.49322047457898,4.58865774137365,6.97673712655586e-06,1.53402626839374e-05,2.5853392040101
SOCS2-AS1,-0.269565155647875,1.21925882202089,-4.58825428875132,6.98920643493506e-06,1.53664061245825e-05,2.58362643366575
AL109936.2,-0.372925771844188,2.27806794936618,-4.58797464388662,6.99786185627333e-06,1.53841607491717e-05,2.5824393371883
XAB2,0.298411776775239,5.95924064590607,4.58635994904509,7.04804106976868e-06,1.54931911342243e-05,2.57558613479251
PIEZO1,0.337087394575015,4.5266441610631,4.58612909476764,7.05524345506639e-06,1.55077045994472e-05,2.57460649391331
FAAP100,0.261591722855037,4.886918221585,4.58611085977687,7.05581266722192e-06,1.55077045994472e-05,2.57452911466345
WFIKKN1,-0.243309925184865,0.51515404158233,-4.58590878283447,7.06212353384936e-06,1.55202890521034e-05,2.57367162897851
KRT8P3,0.455544932992686,2.01626074601794,4.58579522777444,7.06567224309475e-06,1.5526801583989e-05,2.57318978778336
IFNA20P,0.184519036621165,0.451231087896025,4.58550980809927,7.07459946975312e-06,1.55451313398502e-05,2.57197872874792
